Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy
1,1.52919190223163,1.2920632167769581,0.3596487678549751,0.4743527898375945
2,1.2995201005519015,1.180573561580751,0.4846841743212075,0.5312751246181058
3,1.206852925479605,1.1044177741655041,0.5292356249747097,0.5590931017848528
4,1.1361367205971653,1.0586461570391619,0.5590579856755554,0.5898054349573887
5,1.0769932131937021,1.0408116969397259,0.5847934285598673,0.5902878276250201
6,1.0215102250522008,1.0145794898654623,0.6021527131469268,0.5994532883100177
7,0.9847287054007879,0.9891662546325772,0.6215352243758345,0.6206785656858016
8,0.9350290761796402,0.9954701616862133,0.6386112572330352,0.6039556198745779
9,0.8915482613646868,0.9864668878307685,0.6600574596366285,0.6234121241357131
10,0.851712400319121,0.9735015238848321,0.6778618540848946,0.6174626145682586
11,0.8173183327739678,0.9531583248189911,0.6938453445554971,0.6322559897089565
12,0.7709519362758278,0.9462018601768734,0.7088981507708494,0.6423862357292169
13,0.7286993712186813,0.9553395148874249,0.7287257718609639,0.6380447017205338
14,0.6950104421107128,0.9772495916232965,0.7417958159673047,0.640295867502814
15,0.6603648065556215,0.988061751605306,0.7535305304900255,0.6340247628236051
16,0.6217858675228354,1.0262014034627949,0.7728321126532595,0.6396526772793053
17,0.5893131984379685,1.0213155096784656,0.7826245295998058,0.6483357452966715
18,0.5539449778430671,1.0504435150283162,0.7988103427345932,0.6425470332850941
19,0.5137963532099447,1.0710944101635778,0.8146724396066848,0.6422254381733398
20,0.485306422494376,1.0917140097958262,0.8276210901145147,0.6401350699469368
21,0.4494294767072093,1.0886674988392386,0.8381418686521264,0.6427078308409713
22,0.4358101423046157,1.091513312223025,0.8438878323149759,0.6558932304228976
23,0.40390756862256133,1.0908012268131067,0.8576862380123822,0.6575012059816691
24,0.37971321653490314,1.1188032851197727,0.866871686966374,0.6558932304228976
25,0.34642181662077076,1.2015092049971952,0.875814348723344,0.6449589966232513
26,0.3341174574611063,1.1317639290750179,0.8827337838384656,0.6562148255346518
27,0.30761007177477706,1.2610370357805782,0.8924048071865011,0.6332207750442194
28,0.2847474495678369,1.299215871371463,0.9008618945494274,0.6480141501849171
29,0.2689020707365427,1.3664199749730852,0.9054748512928418,0.6425470332850941
30,0.250644609138888,1.350280615043824,0.9144175130498119,0.6507477086348288
31,0.23621125391603096,1.388106537068258,0.919354186055922,0.6541244573082489
32,0.21389763127849665,1.4099896929411164,0.9268805891635981,0.6520340890818459
33,0.20923847318581731,1.376770900040482,0.9277303443531745,0.64897893552018
34,0.1994463736682672,1.3479169827806918,0.933476308016024,0.6552500401993889
35,0.18324097147796145,1.4413761786139716,0.9389794844818516,0.6496221257436887
36,0.17180171948948025,1.4028506999916772,0.9410027111237,0.6428686283968483
37,0.1709321948529363,1.4903175364461534,0.9419738599117873,0.6465669721820229
38,0.1497979609542873,1.5296178577721578,0.9504309472747137,0.6447981990673741
39,0.14859774901175987,1.5103446609869715,0.9486505078298871,0.64560218684676
